administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Barack Obama (Second Term),Oklahoma v. FCC,2016-09-28,Other,Prisoner Phone Calls,Federal Communications Commission,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Other,No obvious EO link in AG metadata,16-01339,links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2016.09.28-Oklahoma-v.-FCC-Petition-for-Review-D.C.-Cir..pdf,"On 12/21/17, the D.C. Circuit summarily vacated the Order on Reconsideration in light of its previous June 2017 decision in Global Tel*Link v. FCC.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Wisconsin v. EPA,2016-11-23,Environment,Cross-State Update Rule,U.S. Environmental Protection Agency,adverse_tro_or_injunction; state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,16-1406,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2016.11.23-Wisconsin-v.-EPA-Petition-for-Review.pdf,"On 9/13/19, the court sided with the environmental petitioners and required the EPA to amend the rule to require upwind states to reduce pollution. The court rejected the petitioner states' argument that the Cross-State Air Pollution Rule should be vacated.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Texas v. United States,2018-05-01,Immigration,Deferred Action for Childhood Arrivals,"U.S. Department of Homeland Security, U.S. Immigration and Customs Enforcement (DHS), U.S. Customs and Border Protection (DHS), U.S. Citizenship and Immigration Services (DHS), U.S. Border Patrol (DHS)",adverse_tro_or_injunction; adverse_merits_or_partial_merits,National Injunction Issued,"Success, Merits Decision","Case Active, Appellate Court, Appeal Period Open from Final Court Decision",Immigration / border policy,No obvious EO link in AG metadata,23-40653,(2022.10.05) Texas v. United States - Opinion (5th Cir.) (2025.01.17) Texas v. United States [5th Cir.] - Opinion | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.5.1-Texas-v.-US-DACA-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2022/10/2022.10.05-Texas-v.-United-States-Opinion-5th-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2025/01/2025.01.17-Texas-v.-United-States-5th-Cir.-Opinion.pdf,"The district court issued an opinion vacating the DACA Memorandum and granting a permanent injunction to the plaintiff states, directing the federal government to halt any further DACA approvals. The Fifth Circuit upheld this district court ruling in October 2022. On remand, the district court granted summary judgment to the plaintiff states and again enjoined new DACA approvals. The Fifth Circuit again upheld the district court, except limiting the injunction to Texas.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Bill Clinton (First Term),New York v. EPA,1996-03-26,Environment,Exemption for States from Nitrogen Oxide Regulations,U.S. Environmental Protection Agency,adverse_tro_or_injunction,,,,Funding / grant or program cuts,No obvious EO link in AG metadata,133 F.3d 987,,"The court held that the EPA's interpretation of Â§ 182(f) of the Clean Air Act was as plausible as the downwind states' interpretation, and disposed of the issue under the Chevron doctrine. Under the downwind states' interpretation, compliance with the nitrogen oxide limitations would require expensive pollution control measures when the effect of nitrogen oxide pollution was uncertain. Thus, the purpose of Â§ 182 exemptions would be defeated. The court held that the EPA's determination that the reduction in nitrogen oxide emissions would not reduce the upwind states' ozone problem was well within its expertise, was a sensible reading of the statute, and would not be overruled on appeal.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),PHH Corporation v. Consumer Financial Protection Bureau,2017-01-23,Consumer Protection,Powers of the CFPB,Consumer Financial Protection Bureau,state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,881 F.3d 75,"links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.01.23-PHH-Corporation-v.-Consumer-Financial-Protection-Bureau-Motion-to-Intervene.pdf; https://scholar.google.com/scholar_case?case=13735252432428480002&amp;q=phh+corporation+v.+cfpb&amp;hl=en&amp;as_sdt=6,50&amp;as_ylo=2018",The court denied the states' motion to intervene on 1/30/17.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Truck Trailers Manufacturers Association v. EPA,2017-01-23,Environment,Heavy-Duty Truck Trailer Emissions Rule,U.S. Environmental Protection Agency,adverse_tro_or_injunction; state_loss,No Injunction Issued (Not Requested),"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,16-1430,(2021.11.12) Truck Trailer Manufacturers Association v. EPA - Opinion [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.1.23-Truck-Trailers-Manufacturers-Association-v.-EPA-Motion.pdf; https://attorneysgeneral.org/wp-content/uploads/2021/11/2021.11.12-Truck-Trailer-Manufacturers-Association-v.-EPA-Opinion-D.C.-Cir..pdf,The D.C. Circuit vacated the rules as applied to trailers on 11/12/21. The case was not appealed.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Accrediting Council for Independent Colleges and Schools v. Department of Education,2017-01-24,Education,For-Profit Colleges,U.S. Department of Education,state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,1:16-cv-02448,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.01.24-Accrediting-Council-for-Independent-Colleges-and-Schools-v.-Department-of-Education-Motion-to-Intervene.pdf,"The judge granted summary judgment to the private plaintiffs, thus allowing ACICS to remain accredited.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Washington v. Trump,2017-01-30,Immigration,Travel Ban,President; U.S. Department of Homeland Security,adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Closed, Voluntarily Dismissed",Immigration / presidential directive,Likely EO/directive-related,17-35105,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.01.30-Washington-v.-Trump-Complaint.pdf,"After successfully blocking the first iteration of the travel ban, this case was stayed pending the result in the parallel Hawaii v. Trump litigation. The U.S. Supreme Court upheld the third version of the travel ban in that case on 6/26/18. The plaintiff states voluntarily dismissed this case in light of that decision.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Hawaii v. Trump,2017-02-03,Immigration,Travel Ban,President; U.S. Department of Homeland Security; U.S. Department of State,adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Immigration / presidential directive,Possible presidential-directive/OMB-related,138 S.Ct. 2392,"links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.02.03-Hawaii-v.-Trump-Complaint.pdf; https://scholar.google.com/scholar_case?case=16062632215534775045&amp;q=hawaii+v.+trump&amp;hl=en&amp;as_sdt=6,50&amp;as_ylo=2018","After successfully blocking three iterations of the travel ban in lower courts, Hawaii lost in the U.S. Supreme Court when the Court reversed the 9th Circuit by a 5-4 vote on 6/26/18, upholding the third version of the travel ban.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. U.S. Department of the Interior,2017-04-26,Environment,Valuation Rule,U.S. Department of the Interior,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,3:17-cv-02376,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.4.26-California-v.-U.S.-Department-of-the-Interior-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.08.30-Becerra-v.-Department-of-the-Interior-Order-Granting-Summary-Judgment.pdf,"The court sided with the states, holding that the Department had no authority to postpone the Valuation Rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. Zinke,2017-05-09,Environment,Ending the Coal Leasing Moratorium,Bureau of Land Management (Interior); U.S. Department of the Interior,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,4:17-cv-00042,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.5.9-California-v.-Zinke-Complaint.pdf,"The district court sided with the plaintiff states, holding that the Department violated NEPA. After additional agency action, the federal defendants subsequently notified the court of their publication of finding of no significant impact and environmental assessment. On 5/22/20, following a hearing, the court denied the plaintiffs' requested relief and closed the case.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. Perry,2017-06-13,Environment,Efficiency Standards for Appliances,U.S. Department of Energy,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,18-15475,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.6.13-California-v.-Perry-Complaint.pdf,"The district court granted summary judgment to the states. The Ninth Circuit upheld the district court on appeal on 10/10/19, holding that the Trump Administration must publish the Obama-era rules.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Clean Air Council v. Pruitt,2017-06-20,Environment,Administrative Stay of 2016 Methane Rules,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,862 F.3d 1,"links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.6.20-Clean-Air-Council-v.-Pruitt-Motion-to-Intervene.pdf; https://scholar.google.com/scholar_case?case=10998041686661677797&amp;q=862+F.3d+1&amp;hl=en&amp;as_sdt=6,50","The court ruled for the petitioner AGs, granting petitioners' motion to vacate EPA's stay of the rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. U.S. Bureau of Land Management,2017-07-05,Environment,Waste Prevention Rule,Bureau of Land Management (Interior),adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,3:17-cv-03804,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.7.5-California-v.-U.S.-Bureau-of-Land-Management-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.10.4-California-v.-U.S.-Bureau-of-Land-Management-Judgment.pdf,"The court granted summary judgment for the states. BLM initially sought appeal in the 9th Circuit, but voluntarily dismissed its appeal on 3/16/18.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Massachusetts v. Department of Education,2017-07-06,Education,Borrower Defense Rule,U.S. Department of Education,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,1:17-cv-01330,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.07.06-Massachusetts-v.-Department-of-Education-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2018.09.21-Massachusetts-v.-Department-of-Education-Opinion.pdf,"The district court held for the states, granting summary judgment and requiring the Department to implement the rule.Â",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Pruitt,2017-07-24,Environment,Chemical Accident Safety Rule,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,906 F.3d 1049,"links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.7.24-New-York-v.-Pruitt-Petition.pdf; https://scholar.google.com/scholar_case?case=16924067675422118242&amp;q=17-1181&amp;hl=en&amp;as_sdt=3,50&amp;as_ylo=2018","The three-judge panel sided with the plaintiff states, ruling that the Administration's delay of the Chemical Disaster Rule violated the Clean Air Act.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. Sessions,2017-08-14,Immigration,Witholding of Federal Grants,U.S. Department of Justice,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Immigration / border policy,No obvious EO link in AG metadata,18-17311,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.08.14-California-v.-Sessions-Complaint.pdf,"The district court granted summary judgment and a national injunction to the states prohibiting the grant conditions. The federal defendants appealed to the 9th Circuit, which upheld the district court but limited the injunction to California.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Trump,2017-09-06,Immigration,DACA Recission,President; U.S. Department of Homeland Security,adverse_tro_or_injunction; adverse_merits_or_partial_merits,National Injunction Issued,"Success, Merits Decision","Case Active, Original Court, Pre-Argument Briefing",Immigration / presidential directive,Possible presidential-directive/OMB-related,18-1521,(2018.03.29) New York v. Trump - Opinion [E.D.N.Y.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.09.06-New-York-v.-Trump-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2018.03.29-New-York-v.-Trump-Opinion-E.D.N.Y..pdf,"The district court issued a national injunction blocking the DACA rescission in 2018. Following further appeals at the Second Circuit, SCOTUS heard the case and ruled that the Trump Administration's rescission of the DACA program was arbitrary and capricious (18-587). On remand, the district court granted summary judgment to the plaintiffs, holding that Secretary Chad Wolf was not lawfully serving as Acting Secretary of Homeland Security under the HSA when he issued the Wolf Memorandum. The court subsequently ordered the agency to reinstate DACA to the form it had prior to the Trump Administration's 2017 changes. Due to another district court enjoining the program in related litigation, this case was voluntarily dismissed in 2024.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. NHTSA,2017-09-08,Environment,Delay of Rule re: Penalties for Violating Fuel Efficiency Standards,National Highway Traffic Safety Administration (DoT),adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,17-2806,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.9.11-New-York-v.-NHTSA-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2018.04.23-New-York-v.-NHTSA-Opinion-2nd.-Cir..pdf,"The court ruled in favor of the states, vacating the Suspension Rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. Department of Homeland Security,2017-09-11,Immigration,DACA Recission,U.S. Department of Homeland Security,adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Immigration / border policy,No obvious EO link in AG metadata,3:17-cv-05235,(2018.01.19) California v. Department of Homeland Security - Opinion [N.D.Cal.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.09.11-California-v.-Department-of-Homeland-Security-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2018.01.19-California-v.-Department-of-Homeland-Security-Opinion-N.D.Cal_..pdf,"The district court issued a nationwide injunction, which was largely upheld by the 9th Circuit on 11/8/18. On further appeal, the U.S. Supreme Court held on 6/20/20 that the federal defendants had acted arbitrarily in rescinding the rule. The case was remanded to the district court, which held a case management conference on 10/22/20. This was the last significant action on the docket as of late 2024.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Karnoski v. Trump,2017-09-25,Civil Rights,Transgender Military Ban,President; U.S. Department of Defense,adverse_tro_or_injunction,National Injunction Issued,Mixed Win/Loss,"Case Closed, Agency Reversed Decision",Funding / grant or program cuts,Likely EO/directive-related,18-676,links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2017.09.25-Karnoski-v.-Trump-Motion-to-Intervene-WA-W.D.-Wash..pdf,"The district court granted summary judgment to the plaintiffs, which the U.S. Supreme Court stayed on 1/22/19 pending further appeals. On 6/14/19, the 9th Cir. vacated the district court's order and remanded. Washington State filed an amended complaint on 7/31/19. Following the change in administrations and a change in the challenged policy, the district court stayed the case before it was ultimately voluntarily dismissed by the parties.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. Azar,2017-10-06,Health Care,Contraceptive Mandate,U.S. Department of Health and Human Services; U.S. Department of Labor; U.S. Department of the Treasury,adverse_tro_or_injunction,,"Success, Injunction Only","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,19-15118,"(2018.12.13) California v. HHS - 911 F.3d 558 [9th Cir.] (Interim Rules) | links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.10.06-California-v.-Azar-Complaint.pdf; https://scholar.google.com/scholar_case?case=14241967220791443467&amp;q=18-15144&amp;hl=en&amp;as_sdt=6,50","The court granted a preliminary national injunction blocking the interim rules on 12/21/17, which was largely upheld by the 9th Circuit on 12/13/18. The court then enjoined the final rules on 1/13/19. On 10/22/19, the 9th Circuit upheld the lower court's injunction. Following a stay pending a Supreme Court decision in related cases ( PA v. Trump , 19-454), briefing continued in the district court. The case in currently stayed pending ongoing agency review of the challenged rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Pennsylvania v. Trump,2017-10-11,Health Care,Contraceptive Mandate,President; U.S. Department of Health and Human Services; U.S. Department of the Treasury; U.S. Department of Labor,adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,Possible presidential-directive/OMB-related,19-00454,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2017.10.11-Pennsylvania-v.-Trump-Complaint.pdf,"The court granted a preliminary injunction blocking the interim rules nationwide on 12/15/17 and another injunction blocking the final rules on 1/14/19. The Third Circuit affirmed the injunctions on 7/12/19. However, SCOTUS reversed on 7/8/20. After remand, briefing continued in the District Court until the court placed the case in abeyance following the change in presidential administrations. The case currently remains in abeyance during Biden Administration reevaluation of the challenged rules.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. U.S. Department of the Interior,2017-10-17,Environment,Valuation Rule,U.S. Department of the Interior,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,4:17-cv-05948,(2019.03.29) California v. U.S. Department of the Interior - Order re Cross-Motions for Summary Judgment [N.D. Cal.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.10.17-California-v.-U.S.-Department-of-the-Interior-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2019.03.29-California-v.-U.S.-Department-of-the-Interior-Order-re-Cross-Motions-for-Summary-Judgment-N.D.-Cal..pdf,The court granted summary judgment for the state plaintiffs on their APA claims on 3/29/19.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Stockman v. Trump,2017-11-08,Civil Rights,Transgender Military Ban,President; U.S. Department of Defense; Joint Chiefs of Staff (DoD); U.S. Army (DoD); U.S. Navy (DoD); U.S. Air Force (DoD); U.S. Department of Homeland Security,adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Agency Reversed Policy",Funding / grant or program cuts,Likely EO/directive-related,18-678,links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2017.11.08-Stockman-v.-Trump-Motion-to-Intervene-CA-C.D.-Cal..pdf,"The district court issued a preliminary injunction, which was stayed by the U.S. Supreme Court on 1/22/19 pending resolution of appeals. Discovery in the case continued until the Biden Administration reversed the Trump-era policy, after which this case was voluntarily dismissed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. Pruitt,2017-12-05,Environment,Ozone NAAQS Designations,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,4:17-cv-06936,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.12.5-California-v.-Pruitt-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2018.03.12-California-v.-Pruitt-Order-Granting-Summary-Judgment.pdf,"The court granted the plaintiffs' motion for summary judgment on 3/12/18, requiring the EPA to release its ozone findings.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Massachusetts v. Department of Education,2017-12-14,Education,Failure to Discharge Fraudulent Loans,U.S. Department of Education,state_loss,,"Failure, Procedural Dismissal","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,1:17-cv-02679,"links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.12.14-Massachusetts-v.-Department-of-Education-Complaint.pdf; https://scholar.google.com/scholar_case?case=15013671406388536171&amp;q=1:17-cv-02679&amp;hl=en&amp;as_sdt=3,50","On 10/12/18, the court dismissed the case, holding that the states lacked standing to bring the suit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. U.S. Bureau of Land Management,2017-12-19,Environment,Waste Prevention Rule,Bureau of Land Management (Interior),adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,No obvious EO link in AG metadata,18-15711,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.12.19-California-v.-U.S.-Bureau-of-Land-Management-Complaint.pdf,"On 2/22/18, the court ruled that BLM must enforce the rule. BLM issued a new rule on 9/18/18, which was subject to separate litigation ( 4:18-cv-05712). Due to adoption of the new rule, this case was voluntarily dismissed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. EPA,2017-12-26,Environment,Ozone NAAQS Designations,U.S. Environmental Protection Agency,adverse_tro_or_injunction; state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,17-1273,"(2019.04.23) New York v. EPA - Opinion [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2017.12.26-New-York-v.-EPA-Complaint.pdf; https://scholar.google.com/scholar_case?case=16982471967007447586&amp;q=17-1273+epa&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit rejected the states' arguments on 4/23/19, upholding the EPA's action.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. FCC,2018-01-16,Consumer Protection,Net Neutrality,Federal Communications Commission,adverse_tro_or_injunction; state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Consumer / financial regulation,No obvious EO link in AG metadata,18-1055,(2019.10.01) New York v. FCC - Opinion [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.1.16-New-York-v.-FCC-Protective-Petition.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/10/2019.10.01-New-York-v.-FCC-Opinion-D.C.-Cir..pdf,"The three-judge panel largely upheld the FCC's order on 10/1/19, with the exception of its Preemption Directive (which the court vacated).",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Pruitt,2018-01-17,Environment,Ozone NAAQS Designations,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,1:18-cv-00406,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.1.17-New-York-v.-Pruitt-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2018.06.12-New-York-v.-Pruitt-Order-Granting-Summary-Judgment.pdf,"The court ruled in favor of the AGs' motion for summary judgment on 6/12/18, requiring the EPA to develop action plans.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Texas v. United States,2018-02-26,Health Care,Affordable Care Act,U.S. Department of Health and Human Services; Internal Revenue Service (Treasury),state_loss,,"Failure, Procedural Dismissal","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,19-840,(2018.12.14) Texas v. United States - Opinion and Order [N.D. Tex.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.2.26-Texas-v.-United-States-ACA-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2018.12.14-Texas-v.-United-States-Opinion-and-Order-N.D.-Tex..pdf,"The district court struck down the ACA in its entirety on 12/14/18. The 5th Circuit upheld the district court on 12/18/19, declaring the individual mandate unconstitutional. However, on 6/17/21, the U.S. Supreme Court reversed the 5th Circuit, holding that the plaintiffs lacked standing to challenge the ACA.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. U.S. Department of Commerce,2018-04-03,Voting and Elections,Census Questions,U.S. Department of Commerce; U.S. Census Bureau (Commerce),adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,588 U.S. ___,(2019.01.15) New York v. U.S. Department of Commerce - Findings of Fact and Conclusions of Law [S.D.N.Y.] (2019.07.16) New York v. U.S. Department of Commerce - Order Issuing Permanent Injunction [S.D.N.Y.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.4.3-New-York-v.-U.S.-Department-of-Commerce-Complaint.pdf; https://casetext.com/case/department-of-commerce-v-new-york; https://attorneysgeneral.org/wp-content/uploads/2019/05/2019.01.15-New-York-v.-U.S.-Department-of-Commerce-Findings-of-Fact-and-Conclusions-of-Law-S.D.N.Y..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/08/2019.07.16-New-York-v.-U.S.-Department-of-Commerce-Order-Issuing-Permanent-Injunction-S.D.N.Y..pdf,"The district court held for the states, a decision which was appealed to the Supreme Court. On 6/27/19, the Court partially upheld the district court, rejecting the Department's stated reasons for including the citizenship question. Following that decision, the district court permanently enjoined the federal government from adding the question, and retained jurisdiction of the case until the Census is completed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),U.S. Chamber of Commerce v. U.S. Department of Labor,2018-04-26,Consumer Protection,Fiduciary Rule,U.S. Department of Labor,state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,17-10238,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.4.26-Chamber-v.-Labor-Motion-to-Intervene.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2019.05.22-Chamber-of-Commerce-v.-Department-of-Labor-Denial-of-Motion-to-Intervene.pdf,A three-judge panel denied the states' motion to intervene on 5/2/18.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
