Issue ID,Area ID,Title,Development Status,Audit Runs,Proposal Quality Score,Audit Status,Last Audit Type,Last Audit Date,Score Basis,Next Audit Need,Audit Rubric Version,Rebaseline Status,Rebaseline Notes,Adoption Friction Score,Adoption Friction Band,Adoption Friction Notes,Required Electoral Environment,Pathway Viability,Development Priority,Pathway Adjustment,Enactment Pathway Notes
JUD-009,A-04,Appointer-President Recusal,Developed,5,77,T4 publication-ready audit complete; external validation pending,T4 publication-ready audit,2026-06-28,"T4 formula rebaseline: structural 8/8, evidence 10/12, legal fit 8/10, prior proposal 5/8, remedy 10/12, implementation 6/8, abuse resistance 6/8, drafting 8/8, cogency 6/6, adoption 5/12, project integration 4/4, external review 0/4, penalties 0; total 77. T4 added close prior-proposal family analysis through Supreme Court ethics and recusal legislation, source-hierarchy review, and publication-readiness blockers.",Run external validation or T4 follow-up after qualified legal or legislative-counsel review; primary source substitution for Cannon-related examples; official bill and committee-record support for prior ethics/recusal legislation; local assignment-rule review; small-court and emergency-matter implementation analysis; and final constitutional review of congressional regulation of recusal and reassignment.,2026-06-27.2,current,"Current under rubric 2026-06-27.2 after T4 component formula rebaseline; internally Review Ready but not publication-ready because external/professional review, primary source substitution, official prior-bill records, local assignment-rule review, and constitutional implementation analysis remain pending.",82,Extreme Resistance,"Extreme resistance because the proposal regulates judicial assignment and recusal in presidential-party litigation, may draw separation-of-powers and judge-shopping objections, can be perceived as case-specific despite neutral framing, and analogous Supreme Court ethics legislation advanced on a party-line committee vote.",sixty-vote-senate,plausible-after-wave,active,stage,"Ordinary federal legislation likely requires a Senate environment capable of overcoming filibuster constraints. T4 confirms staged alternatives should include Tier 1-only mandatory recusal, Tier 1 plus narrow Tier 2, Judicial Conference study or guidance, local-rule models, and disclosure or reassignment procedures."
JUD-010,A-04,"Judicial Branch Capacity, Funding, and Emergency Docket Resilience",Candidate,1,0,Pending development,Horizon integration decision,2026-06-25,"Admitted from HOR-017 as a distinct A-04 candidate concerning judicial-branch appropriations, judgeships, staffing, security, technology, and emergency-docket resilience; no proposal-quality score assigned because no basic proposal framework exists.","Run issue-admission/source-development pass focused on Judicial Conference budget requests, AO and judiciary reports, caseload and weighted-filing data, JUDGES Act history, court-security funding, defender/magistrate/staffing needs, emergency docket practices, court technology, and bipartisan prior proposals before drafting.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-001,A-05,Personal or political benefit,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-002,A-05,Obstruction or witness inducement,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-003,A-05,"Sale, brokerage, or monetization of pardons",Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-004,A-05,Pardons benefiting the president or presidential interests,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-005,A-05,Self-pardon uncertainty,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-006,A-05,Bypass of professional clemency review,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-007,A-05,Inadequate transparency,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-008,A-05,Blanket or categorical pardons,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-009,A-05,Transition-period pardons,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
PAR-010,A-05,Weak remedies after corrupt use,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-001,A-06,Lack of mandatory divestment,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-002,A-06,Presidential exemption from ordinary conflict-of-interest law,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-003,A-06,Absence of a designated enforcement institution,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-004,A-06,Standing barriers,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-005,A-06,Uncertainty over the meaning of emolument,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-006,A-06,Benefits routed through business entities,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-007,A-06,Foreign-government patronage,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-008,A-06,Domestic-government spending at presidential businesses,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-009,A-06,Inadequate financial disclosure,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-010,A-06,Lack of an operational congressional-consent process,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-011,A-06,Remedies that arrive too late,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-012,A-06,Lack of effective disgorgement,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-013,A-06,Circumvention through family or affiliated entities,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMOL-014,A-06,Dependence on impeachment or political restraint,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-001,A-07,Undocumented presidential declassification,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-002,A-07,Confusion between declassification and lawful possession,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-003,A-07,Unclear statutory exceptions such as Restricted Data,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-004,A-07,Classification used to conceal misconduct or embarrassment,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-005,A-07,Politically selective declassification,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-006,A-07,Inadequate protection against exposure of intelligence sources and methods,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-007,A-07,Weak archival and agency implementation procedures,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-008,A-07,Overclassification and excessive secrecy,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-009,A-07,Insufficient congressional access and oversight,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-010,A-07,Limited external review and judicial remedies,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-011,A-07,Politicized security-clearance authority,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CLASS-012,A-07,Inconsistent accountability for unauthorized retention or disclosure,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CIV-001,A-08,Political reclassification of career positions,Candidate,2,0,Pending development; HOR-011 integrated as source-development manifestation,Horizon integration decision,2026-06-25,HOR-011 was integrated into CIV-001 because Schedule F or Schedule Policy/Career-style reclassification is already the core defect captured by political reclassification of career positions. No proposal-quality score is assigned because no basic proposal framework exists.,"Run issue-admission/source-development pass focused on the OPM final rule, Federal Register publication, litigation filings, union challenges, OSC and MSPB implications, Saving the Civil Service Act or related prior legislation, Project 2025 civil-service capture materials, and least-complex statutory or regulatory repair.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CIV-002,A-08,Removal or reassignment for disfavored professional judgments,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CIV-003,A-08,Loyalty tests and partisan hiring,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CIV-004,A-08,Weak protection for refusal of unlawful directives,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CIV-005,A-08,Loss of technical and institutional capacity,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CIV-006,A-08,Inadequate and delayed personnel remedies,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CIV-007,A-08,Politicized promotion and performance systems,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CIV-008,A-08,Mass reduction or hollowing of agency capacity,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
